GroupTrans-Host-1,host,10.0.1.1,255.255.255.255,gold,,,,GRPTESTComment 1,
GroupTrans-Host-2,host,10.0.1.2,255.255.255.255,gold,,,,GRPTESTComment 2,
GroupTrans-Host-3,host,10.0.1.3,255.255.255.255,gold,,,,GRPTESTComment 3,
GroupTrans-Host-4,host,10.0.1.4,255.255.255.255,gold,,,,GRPTESTComment 4,
GroupTrans-Host-5,host,10.0.1.5,255.255.255.255,gold,,,,GRPTESTComment 5,
GroupTrans-Host-6,host,10.0.1.6,255.255.255.255,gold,,,,GRPTESTComment 6,
GroupTrans-Host-7,host,10.0.1.7,255.255.255.255,gold,,,,GRPTESTComment 7,
GroupTrans-Host-8,host,10.0.1.8,255.255.255.255,gold,,,,GRPTESTComment 8,
GroupTrans-Host-9,host,10.0.1.9,255.255.255.255,gold,,,,GRPTESTComment 9,
GroupTrans-Host-10,host,10.0.1.10,255.255.255.255,gold,,,,GRPTESTComment 10,
GroupTrans-Host-11,host,10.0.1.11,255.255.255.255,gold,,,,GRPTESTComment 11,
GroupTrans-Host-12,host,10.0.1.12,255.255.255.255,gold,,,,GRPTESTComment 12,
GroupTrans-Host-13,host,10.0.1.13,255.255.255.255,gold,,,,GRPTESTComment 13,
GroupTrans-Host-14,host,10.0.1.14,255.255.255.255,gold,,,,GRPTESTComment 14,
GroupTrans-Net-1,net,10.0.1.0,255.255.255.128,gold,,,,GRPTESTComment 14,
GroupTrans-Net-2,net,10.0.1.128,255.255.255.128,gold,,,,GRPTESTComment 14,
GroupTrans-GROUP2,group,GroupTrans-Host-1,,gold,,,,,
GroupTrans-GROUP2,group,GroupTrans-Host-2,,gold,,,,,
GroupTrans-GROUP2,group,GroupTrans-Host-3,,gold,,,,,
GroupTrans-GROUP2,group,GroupTrans-Host-4,,gold,,,,,
GroupTrans-GROUP2,group,GroupTrans-Host-5,,gold,,,,,
GroupTrans-GROUP2,group,GroupTrans-Host-6,,gold,,,,,
GroupTrans-GROUP2,group,GroupTrans-Host-8,,gold,,,,,
GroupTrans-GROUP2,group,GroupTrans-Host-9,,gold,,,,,
GroupTrans-GROUP2,group,GroupTrans-Host-10,,gold,,,,,
GroupTrans-GROUP2,group,GroupTrans-Host-11,,gold,,,,,
GroupTrans-GROUP2,group,GroupTrans-Host-12,,gold,,,,,
GroupTrans-GROUP2,group,GroupTrans-Host-13,,gold,,,,,
GroupTrans-GROUP2,group,GroupTrans-Host-14,,gold,,,,,
GroupTrans-GROUP2,group,GroupTrans-Net-1,,gold,,,,,
GroupTrans-GROUP2,group,GroupTrans-Net-2,,gold,,,,,
GroupTrans-GROUP,group,GroupTrans-Host-1,,gold,,,,,
GroupTrans-GROUP,group,GroupTrans-Host-2,,gold,,,,,
GroupTrans-GROUP,group,GroupTrans-Host-3,,gold,,,,,
GroupTrans-GROUP,group,GroupTrans-Host-4,,gold,,,,,
